categoria,mob,n_risco,eventos,censuras,S,S_lo,S_hi
12,3,5944168,445814,306446,0.7916552575170388,0.7913619878892081,0.7919485271448695
12,4,5191908,332304,267765,0.7409859835826891,0.7406648445775869,0.7413071225877913
12,5,4591839,328458,200866,0.6879826500172912,0.6876370904322304,0.688328209602352
12,6,4062515,269642,144259,0.6423190604143082,0.6419559878582691,0.6426821329703473
12,7,3648614,255571,138508,0.5973271471592625,0.5969499235320905,0.5977043707864345
12,8,3254535,215062,118922,0.5578553421479889,0.5574679091941558,0.5582427751018221
12,9,2920551,188729,93917,0.5218061579809439,0.5214110955767796,0.5222012203851082
12,10,2637905,168995,82792,0.48837711801627887,0.4879765022582378,0.48877773377431993
12,11,2386118,148491,61712,0.45798482114271466,0.4575804094415221,0.4583892328439072
12,12,2175915,122273,2053642,0.43224889945662714,0.43184229829288745,0.43265550062036684
13,0,5755035,0,0,1.0,1.0,1.0
13,1,5755035,421012,389431,0.9268445804413006,0.9266318357181117,0.9270573251644895
13,2,4944592,455952,362642,0.8413781475907495,0.841072915305571,0.8416833798759279
13,3,4125998,374240,262786,0.7650627063437198,0.7647002233964203,0.7654251892910192
13,4,3488972,291813,218324,0.7010738742389393,0.7006742134070314,0.7014735350708472
13,5,2978835,319356,173559,0.6259128974874741,0.6254793241401705,0.6263464708347778
13,6,2485920,273681,121926,0.557004618984035,0.5565483445235396,0.5574608934445303
13,7,2090313,261436,113526,0.4873399039060968,0.4868689882997955,0.48781081951239813
13,8,1715351,213473,99055,0.426691143794291,0.4262136967046978,0.42716859088388426
13,9,1402823,183505,72588,0.3708751510838982,0.3703967091763694,0.37135359299142695
