arquivo,pop,mob,evento,n
2021/SUL.parquet,geral,7,0,15755
2021/SUL.parquet,geral,7,1,459
2021/SUL.parquet,geral,8,0,16122
2021/SUL.parquet,geral,8,1,619
2021/SUL.parquet,geral,9,0,13606
2021/SUL.parquet,geral,9,1,441
2021/SUL.parquet,geral,10,0,18748
2021/SUL.parquet,geral,10,1,535
2021/SUL.parquet,geral,11,0,19295
2021/SUL.parquet,geral,11,1,618
2021/SUL.parquet,geral,12,0,1119574
2021/SUL.parquet,geral,12,1,866
2021/SUL.parquet,privado,1,0,12630
2021/SUL.parquet,privado,1,1,66
2021/SUL.parquet,privado,2,0,16033
2021/SUL.parquet,privado,2,1,75
2021/SUL.parquet,privado,3,0,13079
2021/SUL.parquet,privado,3,1,138
2021/SUL.parquet,privado,4,0,16828
2021/SUL.parquet,privado,4,1,115
2021/SUL.parquet,privado,5,0,18468
2021/SUL.parquet,privado,5,1,134
2021/SUL.parquet,privado,6,0,14258
2021/SUL.parquet,privado,6,1,132
2021/SUL.parquet,privado,7,0,12719
2021/SUL.parquet,privado,7,1,111
2021/SUL.parquet,privado,8,0,12652
2021/SUL.parquet,privado,8,1,100
2021/SUL.parquet,privado,9,0,10511
2021/SUL.parquet,privado,9,1,88
2021/SUL.parquet,privado,10,0,14858
2021/SUL.parquet,privado,10,1,115
2021/SUL.parquet,privado,11,0,16244
2021/SUL.parquet,privado,11,1,75
2021/SUL.parquet,privado,12,0,193190
2021/SUL.parquet,privado,12,1,179
2022/CENTRO_OESTE.parquet,geral,1,0,6762
2022/CENTRO_OESTE.parquet,geral,1,1,298
2022/CENTRO_OESTE.parquet,geral,2,0,10707
2022/CENTRO_OESTE.parquet,geral,2,1,427
2022/CENTRO_OESTE.parquet,geral,3,0,20997
2022/CENTRO_OESTE.parquet,geral,3,1,520
2022/CENTRO_OESTE.parquet,geral,4,0,11893
2022/CENTRO_OESTE.parquet,geral,4,1,355
2022/CENTRO_OESTE.parquet,geral,5,0,12701
2022/CENTRO_OESTE.parquet,geral,5,1,438
2022/CENTRO_OESTE.parquet,geral,6,0,16044
